System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
Kepler-290b,KTEP,286.41000,42.68156,15.83,13.45,0.1002,0.09,2454974.93413,0.00255,14.589347,0.000066,5147,200,200,-0.06,0.50,0.50,0.840,-1,-1,0.743,0.382,0.382,4.622,0.300,0.300,2.889,1.022,1.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.201,0.109,0.109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-290c,KTEP,286.41000,42.68156,15.83,13.45,0.1782,0.14,2454997.29316,0.00271,36.770310,0.000183,5147,200,200,-0.06,0.50,0.50,0.840,-1,-1,0.743,0.382,0.382,4.622,0.300,0.300,2.889,1.022,1.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.241,0.124,0.124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-291b,KTEP,287.91633,42.43731,16.08,14.15,0.0944,0.04,2454967.90112,0.00274,3.546511,0.000016,6002,200,200,0.07,0.50,0.50,1.116,-1,-1,1.016,0.441,0.441,4.472,0.300,0.300,1.501,0.450,0.450,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.193,0.084,0.084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-291c,KTEP,287.91633,42.43731,16.08,14.15,0.0686,0.03,2454965.68674,0.00483,5.700786,0.000055,6002,200,200,0.07,0.50,0.50,1.116,-1,-1,1.016,0.441,0.441,4.472,0.300,0.300,1.501,0.450,0.450,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.168,0.073,0.073,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292b,KTEP,295.76612,42.42428,16.18,13.97,0.0872,0.03,2455004.56214,0.00512,2.580827,0.000020,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.118,0.012,0.012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292c,KTEP,295.76612,42.42428,16.18,13.97,0.0967,0.03,2455002.79198,0.00513,3.715335,0.000033,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.131,0.013,0.013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292d,KTEP,295.76612,42.42428,16.18,13.97,0.1310,0.07,2455014.90973,0.00369,7.055679,0.000043,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.199,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292e,KTEP,295.76612,42.42428,16.18,13.97,0.1706,0.07,2455011.96640,0.00523,11.979010,0.000101,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.238,0.031,0.031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-292f,KTEP,295.76612,42.42428,16.18,13.97,0.1809,0.08,2455019.03249,0.00604,20.834237,0.000184,5299,100,100,-0.09,0.10,0.10,0.858,-1,-1,0.826,0.073,0.073,4.536,0.150,0.150,2.147,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.210,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-293b,KTEP,286.35808,42.40650,15.53,13.66,0.1889,0.10,2454997.78133,0.00245,19.254196,0.000079,5804,200,200,0.13,0.50,0.50,1.066,-1,-1,0.957,0.398,0.398,4.504,0.300,0.300,1.716,0.537,0.537,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.274,0.116,0.116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-293c,KTEP,286.35808,42.40650,15.53,13.66,0.1920,0.11,2455005.36515,0.00521,54.155743,0.000466,5804,200,200,0.13,0.50,0.50,1.066,-1,-1,0.957,0.398,0.398,4.504,0.300,0.300,1.716,0.537,0.537,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.342,0.145,0.145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-294b,KTEP,287.39200,46.05931,16.01,14.17,0.1032,0.03,2455013.27593,0.00355,3.701212,0.000025,5913,200,200,-0.00,0.50,0.50,1.075,-1,-1,0.976,0.455,0.455,4.491,0.300,0.300,1.631,0.495,0.495,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.158,0.074,0.074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-294c,KTEP,287.39200,46.05931,16.01,14.17,0.1323,0.08,2455016.98818,0.00227,6.626400,0.000028,5913,200,200,-0.00,0.50,0.50,1.075,-1,-1,0.976,0.455,0.455,4.491,0.300,0.300,1.631,0.495,0.495,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.242,0.113,0.113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-295b,KTEP,285.34583,45.36778,14.63,12.71,0.3589,0.02,2454971.62536,0.00812,12.645164,0.000181,5603,200,200,-0.33,0.50,0.50,0.816,-1,-1,0.898,0.473,0.473,4.444,0.300,0.300,1.590,0.774,0.774,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.109,0.057,0.057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-295c,KTEP,285.34583,45.36778,14.63,12.71,0.3422,0.02,2454965.28720,0.00960,21.526258,0.000336,5603,200,200,-0.33,0.50,0.50,0.816,-1,-1,0.898,0.473,0.473,4.444,0.300,0.300,1.590,0.774,0.774,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.104,0.055,0.055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-295d,KTEP,285.34583,45.36778,14.63,12.71,0.2239,0.02,2454993.00625,0.00919,33.884054,0.000685,5603,200,200,-0.33,0.50,0.50,0.816,-1,-1,0.898,0.473,0.473,4.444,0.300,0.300,1.590,0.774,0.774,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.121,0.064,0.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-297b,KTEP,283.20917,48.77764,14.34,12.78,0.2552,0.09,2455004.28713,0.00209,38.871826,0.000153,5619,100,100,-0.22,0.10,0.10,0.887,-1,-1,0.915,0.165,0.165,4.468,0.150,0.150,1.633,0.548,0.548,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.256,0.046,0.046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-298b,KTEP,283.03979,48.82536,15.76,13.07,0.0967,0.11,2454985.64156,0.00150,10.475464,0.000027,4465,100,100,-0.24,0.10,0.10,0.632,-1,-1,0.582,0.025,0.025,4.709,0.150,0.150,4.526,0.414,0.414,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.175,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-298c,KTEP,283.03979,48.82536,15.76,13.07,0.0999,0.11,2455156.03372,0.01134,22.928810,0.000380,4465,100,100,-0.24,0.10,0.10,0.632,-1,-1,0.582,0.025,0.025,4.709,0.150,0.150,4.526,0.414,0.414,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.172,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-298d,KTEP,283.03979,48.82536,15.76,13.07,0.1847,0.16,2455017.24735,0.00490,77.473633,0.000615,4465,100,100,-0.24,0.10,0.10,0.632,-1,-1,0.582,0.025,0.025,4.709,0.150,0.150,4.526,0.414,0.414,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.223,0.018,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-299b,KTEP,283.20696,48.58050,15.17,13.43,0.1061,0.02,2454966.82858,0.00650,2.927128,0.000033,5617,112,112,-0.02,0.10,0.10,0.946,-1,-1,1.032,0.208,0.208,4.394,0.150,0.150,1.214,0.515,0.515,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.118,0.024,0.024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-299c,KTEP,283.20696,48.58050,15.17,13.43,0.1670,0.04,2454971.40955,0.00356,6.885875,0.000040,5617,112,112,-0.02,0.10,0.10,0.946,-1,-1,1.032,0.208,0.208,4.394,0.150,0.150,1.214,0.515,0.515,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.236,0.056,0.056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-299d,KTEP,283.20696,48.58050,15.17,13.43,0.1783,0.03,2454977.58557,0.00804,15.054786,0.000189,5617,112,112,-0.02,0.10,0.10,0.946,-1,-1,1.032,0.208,0.208,4.394,0.150,0.150,1.214,0.515,0.515,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.166,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-299e,KTEP,283.20696,48.58050,15.17,13.43,0.2349,0.03,2454976.30747,0.02483,38.285489,0.001428,5617,112,112,-0.02,0.10,0.10,0.946,-1,-1,1.032,0.208,0.208,4.394,0.150,0.150,1.214,0.515,0.515,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.167,0.035,0.035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-300b,KTEP,295.28871,48.59972,14.35,12.74,0.0913,0.03,2454966.27803,0.00225,10.446347,0.000043,5986,200,200,-0.24,0.50,0.50,1.002,-1,-1,0.900,0.410,0.410,4.532,0.300,0.300,1.939,0.673,0.673,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.149,0.068,0.068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-300c,KTEP,295.28871,48.59972,14.35,12.74,0.3622,0.05,2454979.56443,0.00343,40.714955,0.000245,5986,200,200,-0.24,0.50,0.50,1.002,-1,-1,0.900,0.410,0.410,4.532,0.300,0.300,1.939,0.673,0.673,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.201,0.093,0.093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-301b,KTEP,283.98296,49.23300,14.44,12.70,0.0956,0.02,2454968.01010,0.00232,2.508553,0.000012,5815,200,200,-0.18,0.50,0.50,0.988,-1,-1,0.900,0.481,0.481,4.525,0.300,0.300,1.912,0.581,0.581,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120,0.064,0.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-301c,KTEP,283.98296,49.23300,14.44,12.70,0.0950,0.02,2454964.64467,0.00371,5.419026,0.000032,5815,200,200,-0.18,0.50,0.50,0.988,-1,-1,0.900,0.481,0.481,4.525,0.300,0.300,1.912,0.581,0.581,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120,0.064,0.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-301d,KTEP,283.98296,49.23300,14.44,12.70,0.1649,0.04,2454977.61227,0.00347,13.751243,0.000081,5815,200,200,-0.18,0.50,0.50,0.988,-1,-1,0.900,0.481,0.481,4.525,0.300,0.300,1.912,0.581,0.581,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.156,0.084,0.084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-303b,KTEP,283.13546,43.65706,14.89,11.59,0.0640,0.03,2454967.71867,0.00124,1.937055,0.000004,3944,150,150,-0.36,0.15,0.15,0.500,-1,-1,0.485,0.025,0.025,4.768,0.200,0.200,6.190,0.583,0.583,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.079,0.004,0.004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-303c,KTEP,283.13546,43.65706,14.89,11.59,0.0439,0.05,2454969.27187,0.00152,7.061149,0.000019,3944,150,150,-0.36,0.15,0.15,0.500,-1,-1,0.485,0.025,0.025,4.768,0.200,0.200,6.190,0.583,0.583,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.102,0.008,0.008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-304b,KTEP,294.44179,40.55758,15.15,12.62,0.0749,0.17,2454966.96482,0.00037,3.295709,0.000002,4731,100,100,0.02,0.10,0.10,0.743,-1,-1,0.687,0.037,0.037,4.635,0.150,0.150,3.234,0.397,0.397,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.255,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-304c,KTEP,294.44179,40.55758,15.15,12.62,0.0464,0.10,2454965.42892,0.00085,5.315946,0.000007,4731,100,100,0.02,0.10,0.10,0.743,-1,-1,0.687,0.037,0.037,4.635,0.150,0.150,3.234,0.397,0.397,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.194,0.013,0.013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-304d,KTEP,294.44179,40.55758,15.15,12.62,0.1245,0.13,2454967.85589,0.00091,9.653471,0.000015,4731,100,100,0.02,0.10,0.10,0.743,-1,-1,0.687,0.037,0.037,4.635,0.150,0.150,3.234,0.397,0.397,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.245,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-305b,KTEP,299.22433,40.34319,16.09,13.70,0.1147,0.13,2455189.07559,0.00176,5.487108,0.000021,5100,100,100,0.03,0.10,0.10,0.839,-1,-1,0.794,0.050,0.050,4.561,0.150,0.150,2.365,0.374,0.374,-1,-1,-1,0.0586,-1,-1,0.0,0.163,0.0,0.257,0.018,0.018,-1,-1,-1,-1,-1,-1,833,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-305c,KTEP,299.22433,40.34319,16.09,13.70,0.1264,0.10,2455192.63623,0.00322,8.290858,0.000056,5100,100,100,0.03,0.10,0.10,0.839,-1,-1,0.794,0.050,0.050,4.561,0.150,0.150,2.365,0.374,0.374,-1,-1,-1,0.0771,-1,-1,0.0,0.189,0.0,0.251,0.027,0.027,-1,-1,-1,-1,-1,-1,729,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-305d,KTEP,299.22433,40.34319,16.09,13.70,0.1025,0.11,2455192.41608,0.00358,16.738661,0.000145,5100,100,100,0.03,0.10,0.10,0.839,-1,-1,0.794,0.050,0.050,4.561,0.150,0.150,2.365,0.374,0.374,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.242,0.037,0.037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-306b,KTEP,288.53867,40.61614,15.80,13.50,0.0965,0.05,2455187.59058,0.00257,4.646186,0.000025,4954,100,100,-0.10,0.10,0.10,0.770,-1,-1,0.719,0.041,0.041,4.611,0.150,0.150,2.923,0.401,0.401,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.136,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-306c,KTEP,288.53867,40.61614,15.80,13.50,0.1272,0.08,2455188.01328,0.00219,7.240193,0.000032,4954,100,100,-0.10,0.10,0.10,0.770,-1,-1,0.719,0.041,0.041,4.611,0.150,0.150,2.923,0.401,0.401,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.210,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-306d,KTEP,288.53867,40.61614,15.80,13.50,0.1990,0.08,2455193.50885,0.00396,17.326644,0.000137,4954,100,100,-0.10,0.10,0.10,0.770,-1,-1,0.719,0.041,0.041,4.611,0.150,0.150,2.923,0.401,0.401,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.220,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-306e,KTEP,288.53867,40.61614,15.80,13.50,0.2285,0.10,2455192.87387,0.00446,44.840975,0.000439,4954,100,100,-0.10,0.10,0.10,0.770,-1,-1,0.719,0.041,0.041,4.611,0.150,0.150,2.923,0.401,0.401,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.203,0.013,0.013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-308b,KTEP,295.78517,40.43956,16.01,14.18,0.1087,0.05,2455015.45617,0.00558,9.694928,0.000090,5895,200,200,-0.11,0.50,0.50,1.038,-1,-1,0.941,0.452,0.452,4.508,0.300,0.300,1.758,0.548,0.548,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.189,0.091,0.091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-308c,KTEP,295.78517,40.43956,16.01,14.18,0.1646,0.05,2454972.08277,0.00623,15.382310,0.000171,5895,200,200,-0.11,0.50,0.50,1.038,-1,-1,0.941,0.452,0.452,4.508,0.300,0.300,1.758,0.548,0.548,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.193,0.093,0.093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-309b,KTEP,297.50987,46.96125,15.47,12.85,0.1161,0.04,2454967.68239,0.00245,5.923653,0.000028,4713,100,100,0.20,0.10,0.10,0.778,-1,-1,0.721,0.040,0.040,4.612,0.150,0.150,2.927,0.388,0.388,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.139,0.012,0.012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-309c,KTEP,297.50987,46.96125,15.47,12.85,0.1524,0.12,2454971.68392,0.00345,105.356383,0.000857,4713,100,100,0.20,0.10,0.10,0.778,-1,-1,0.721,0.040,0.040,4.612,0.150,0.150,2.927,0.388,0.388,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.224,0.016,0.016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-310b,KTEP,288.83937,46.98675,14.45,12.62,0.0877,0.02,2454967.42673,0.00470,13.930698,0.000108,5797,200,200,-0.30,0.50,0.50,0.925,-1,-1,0.876,0.406,0.406,4.521,0.300,0.300,1.942,0.650,0.650,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.106,0.050,0.050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-310c,KTEP,288.83937,46.98675,14.45,12.62,0.2555,0.11,2454976.81309,0.00221,56.475420,0.000207,5797,200,200,-0.30,0.50,0.50,0.925,-1,-1,0.876,0.406,0.406,4.521,0.300,0.300,1.942,0.650,0.650,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.302,0.141,0.141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-310d,KTEP,288.83937,46.98675,14.45,12.62,0.2969,0.07,2454978.92567,0.00419,92.876125,0.000785,5797,200,200,-0.30,0.50,0.50,0.925,-1,-1,0.876,0.406,0.406,4.521,0.300,0.300,1.942,0.650,0.650,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.220,0.103,0.103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-311b,KTEP,282.06129,47.08550,13.89,12.41,0.1809,0.02,2454971.71740,0.00374,9.176092,0.000057,5905,131,131,-0.09,0.10,0.10,1.025,-1,-1,1.188,0.230,0.230,4.308,0.150,0.150,0.863,0.422,0.422,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.152,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-311c,KTEP,282.06129,47.08550,13.89,12.41,0.2025,0.01,2454966.28529,0.00650,19.738286,0.000205,5905,131,131,-0.09,0.10,0.10,1.025,-1,-1,1.188,0.230,0.230,4.308,0.150,0.150,0.863,0.422,0.422,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.128,0.025,0.025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-312b,KTEP,298.39575,42.45975,13.07,11.59,0.1022,0.01,2454965.08778,0.00381,1.772419,0.000012,6115,100,100,0.05,0.10,0.10,1.213,-1,-1,1.467,0.283,0.283,4.191,0.150,0.150,0.542,0.284,0.284,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.115,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-312c,KTEP,298.39575,42.45975,13.07,11.59,0.1407,0.05,2454980.10360,0.00191,19.747412,0.000068,6115,100,100,0.05,0.10,0.10,1.213,-1,-1,1.467,0.283,0.283,4.191,0.150,0.150,0.542,0.284,0.284,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.281,0.054,0.054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-313b,KTEP,298.29496,48.77547,14.30,12.51,0.2441,0.03,2454967.50060,0.00429,14.970418,0.000114,5727,100,100,0.21,0.10,0.10,1.148,-1,-1,1.536,0.162,0.162,4.127,0.150,0.150,0.447,0.272,0.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.226,0.028,0.028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-313c,KTEP,298.29496,48.77547,14.30,12.51,0.2713,0.02,2454982.10331,0.01367,32.273273,0.000819,5727,100,100,0.21,0.10,0.10,1.148,-1,-1,1.536,0.162,0.162,4.127,0.150,0.150,0.447,0.272,0.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.229,0.037,0.037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-314b,KTEP,294.67408,42.07558,12.72,10.77,0.0955,0.01,2454966.31441,0.00341,2.461069,0.000013,5378,100,100,0.26,0.10,0.10,0.950,-1,-1,0.950,0.135,0.135,4.465,0.150,0.150,1.564,0.434,0.434,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.074,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-314c,KTEP,294.67408,42.07558,12.72,10.77,0.1152,0.08,2454970.26485,0.00051,5.960392,0.000005,5378,100,100,0.26,0.10,0.10,0.950,-1,-1,0.950,0.135,0.135,4.465,0.150,0.150,1.564,0.434,0.434,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.259,0.038,0.038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-315b,KTEP,298.02308,43.36353,15.52,13.58,0.3483,0.11,2455020.73232,0.00518,96.101141,0.000918,5796,108,108,-0.25,0.10,0.10,0.914,-1,-1,1.037,0.202,0.202,4.377,0.150,0.150,1.157,0.526,0.526,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.336,0.070,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-315c,KTEP,298.02308,43.36353,15.52,13.58,0.4243,0.10,2454984.06838,0.01006,265.469335,0.006223,5796,108,108,-0.25,0.10,0.10,0.914,-1,-1,1.037,0.202,0.202,4.377,0.150,0.150,1.157,0.526,0.526,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.370,0.086,0.086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-316b,KTEP,290.82600,44.18411,15.68,12.54,0.0579,0.04,2454970.82156,0.00164,2.240508,0.000006,4204,200,200,-0.48,0.50,0.50,0.544,-1,-1,0.520,0.052,0.052,4.743,0.300,0.300,5.463,0.958,0.958,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.095,0.010,0.010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-316c,KTEP,290.82600,44.18411,15.68,12.54,0.1008,0.05,2454971.61401,0.00268,6.827766,0.000034,4204,200,200,-0.48,0.50,0.50,0.544,-1,-1,0.520,0.052,0.052,4.743,0.300,0.300,5.463,0.958,0.958,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.103,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-317b,KTEP,294.94387,39.03206,15.61,13.66,0.1113,0.05,2454968.61931,0.00303,5.524242,0.000027,5497,200,200,0.26,0.50,0.50,1.002,-1,-1,0.941,0.429,0.429,4.493,0.300,0.300,1.696,0.559,0.559,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.186,0.086,0.086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-317c,KTEP,294.94387,39.03206,15.61,13.66,0.1190,0.03,2454966.70980,0.00707,8.775010,0.000113,5497,200,200,0.26,0.50,0.50,1.002,-1,-1,0.941,0.429,0.429,4.493,0.300,0.300,1.696,0.559,0.559,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.153,0.070,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-318b,KTEP,298.48283,46.79361,13.47,11.76,0.1144,0.16,2454967.08179,0.00034,4.662715,0.000003,5746,100,100,0.19,0.10,0.10,1.072,-1,-1,1.189,0.210,0.210,4.325,0.150,0.150,0.900,0.404,0.404,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.420,0.074,0.074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-318c,KTEP,298.48283,46.79361,13.47,11.76,0.1065,0.10,2454966.08965,0.00091,11.815007,0.000020,5746,100,100,0.19,0.10,0.10,1.072,-1,-1,1.189,0.210,0.210,4.325,0.150,0.150,0.900,0.404,0.404,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.328,0.058,0.058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-319b,KTEP,288.81196,39.77067,14.00,12.20,0.0914,0.03,2454968.23073,0.00134,4.362705,0.000009,5526,100,100,-0.08,0.10,0.10,0.912,-1,-1,0.903,0.125,0.125,4.487,0.150,0.150,1.748,0.471,0.471,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.145,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
